datum,predicted_delta,actual_delta,richtung_korrekt
2026-03-18,-0.00075,0.143,0
2026-03-19,0.04743,0.159,1
2026-03-20,0.05168,0.027,1
2026-03-21,0.04783,0.0145,1
2026-03-22,0.00451,-0.01,0
2026-03-23,-0.02792,-0.0545,1
2026-03-24,-0.03807,-0.0745,1
2026-03-25,-0.02292,-0.0585,1
2026-03-26,-0.04072,0.011,0
2026-03-27,0.05253,0.0545,1
2026-03-28,0.02707,0.0165,1
2026-03-29,-0.00907,0.013,0
2026-03-30,0.04368,0.0525,1
2026-03-31,0.03788,0.0645,1
2026-04-01,0.03026,0.0695,1
2026-04-02,0.02675,0.0625,1
2026-04-03,0.02744,0.088,1
2026-04-04,0.03564,0.07,1
2026-04-05,-0.00618,-0.02,1
2026-04-06,-0.03285,0.0,1
2026-04-07,0.03319,-0.05,0
2026-04-08,-0.04126,-0.18,1
2026-04-09,-0.04449,-0.12,1
2026-04-10,-0.03687,-0.02,1
2026-04-11,-0.03384,-0.01,1
2026-04-12,0.01206,0.04,1
2026-04-13,0.05319,,
2026-04-14,,,
