date,temp_avg,temp_min,temp_max,niederschlag_mm,sonnenstunden
2024-09-13,10.0,4.2,15.2,1.5,3.3
2024-09-14,9.9,5.0,17.0,0.0,6.0
2024-09-15,12.1,4.2,18.5,0.0,8.5
2024-09-16,16.0,13.0,20.6,0.0,1.8
2024-09-17,15.9,11.7,21.8,0.0,7.3
2024-09-18,17.9,8.8,25.4,0.0,10.7
2024-09-19,19.5,14.2,24.8,0.0,10.7
2024-09-20,18.0,11.5,24.2,0.0,11.1
2024-09-21,16.7,9.1,24.3,0.0,11.1
2024-09-22,17.0,9.7,24.7,0.2,9.4
2024-09-23,17.2,10.7,22.3,0.1,2.5
2024-09-24,14.9,10.8,19.6,11.0,0.6
2024-09-25,14.9,13.7,17.6,18.5,0.0
2024-09-26,15.8,12.1,19.6,5.2,0.0
2024-09-27,13.9,10.2,18.2,4.6,4.6
2024-09-28,10.7,6.5,15.7,0.4,5.4
2024-09-29,9.7,3.2,14.6,0.0,5.1
2024-09-30,12.5,9.0,15.1,1.7,1.7
2024-10-01,13.2,9.4,15.6,1.3,0.0
2024-10-02,11.2,7.7,15.1,0.0,1.6
2024-10-03,9.9,5.6,14.9,0.0,3.0
2024-10-04,9.4,3.8,15.9,0.0,2.9
2024-10-05,8.5,1.0,16.5,0.0,9.3
2024-10-06,10.2,6.0,15.1,0.1,6.3
2024-10-07,15.9,11.7,20.4,3.3,3.4
2024-10-08,16.4,12.9,19.5,2.0,0.0
2024-10-09,14.1,13.1,15.6,22.5,0.0
2024-10-10,12.6,8.9,15.7,9.3,1.7
2024-10-11,9.0,3.7,13.7,0.0,6.6
2024-10-12,8.4,2.2,12.5,1.5,0.4
2024-10-13,9.5,4.7,12.4,0.0,1.7
2024-10-14,7.9,3.9,11.0,4.2,1.1
2024-10-15,10.1,6.6,12.7,0.1,1.0
2024-10-16,15.0,12.3,19.1,2.8,4.4
2024-10-17,16.8,12.9,21.2,0.0,1.2
2024-10-18,14.1,8.9,18.5,3.5,2.8
2024-10-19,14.1,10.3,17.8,1.9,2.6
2024-10-20,14.4,10.0,17.8,0.7,2.0
2024-10-21,15.7,13.0,18.4,0.5,0.2
2024-10-22,12.1,7.5,16.2,0.0,4.9
2024-10-23,9.9,5.1,16.1,0.0,9.1
2024-10-24,10.4,4.1,14.0,0.0,0.2
2024-10-25,14.6,11.0,20.1,0.0,6.6
2024-10-26,13.3,10.8,17.8,0.0,8.8
2024-10-27,13.5,11.6,15.5,0.0,0.0
2024-10-28,13.7,7.9,17.4,0.0,0.4
2024-10-29,13.1,7.2,17.3,1.3,0.2
2024-10-30,12.9,11.6,14.1,0.0,0.0
2024-10-31,12.2,8.0,16.8,0.0,5.9
2024-11-01,8.8,5.0,10.3,0.5,0.0
2024-11-02,10.3,4.4,12.8,0.0,0.0
2024-11-03,7.7,3.4,13.6,0.0,8.5
2024-11-04,7.0,0.8,14.8,0.0,8.5
2024-11-05,5.8,2.0,9.0,0.1,4.1
2024-11-06,6.9,5.1,8.3,0.1,0.0
2024-11-07,5.7,3.4,7.5,0.0,0.0
2024-11-08,5.6,4.9,7.1,0.0,0.0
2024-11-09,8.3,7.1,9.5,0.0,0.0
2024-11-10,8.1,6.3,10.0,0.0,0.0
2024-11-11,8.8,7.8,11.9,6.4,1.6
2024-11-12,8.3,6.1,10.4,0.0,0.5
2024-11-13,7.1,4.8,8.6,2.9,0.0
2024-11-14,8.8,7.9,10.2,0.6,0.0
2024-11-15,7.9,6.6,8.9,0.0,0.0
2024-11-16,6.5,5.7,7.6,2.3,0.0
2024-11-17,6.6,4.3,8.7,5.3,0.2
2024-11-18,5.6,4.1,7.3,7.6,0.9
2024-11-19,6.8,2.2,12.3,10.4,0.0
2024-11-20,2.3,0.1,4.1,6.3,0.0
2024-11-21,0.4,-3.0,2.5,0.0,0.4
2024-11-22,1.4,-2.8,4.9,1.6,0.7
2024-11-23,3.4,-0.7,9.9,2.8,0.0
2024-11-24,14.6,9.1,18.3,0.0,0.4
2024-11-25,14.1,7.9,18.3,2.1,0.1
2024-11-26,8.1,4.8,11.6,0.0,2.6
2024-11-27,8.7,5.0,12.3,2.7,0.2
2024-11-28,7.1,4.9,8.9,0.1,1.2
2024-11-29,3.3,-1.7,7.5,0.0,6.7
2024-11-30,3.8,1.4,7.4,0.0,7.1
2024-12-01,2.7,1.4,4.9,0.0,6.9
2024-12-02,7.7,4.4,11.2,2.7,1.2
2024-12-03,5.2,0.3,8.0,0.2,1.3
